Template,Announce_date,PSE_Form_No,RC_No,Files
"Public Ownership Report for quarter ended September 30, 2013","Oct 11, 2013 03:16 PM",Company Report,-,0B6iNZOlXAfIQTWktOUJBSDRPQ3M
"Top 100 Stockholders for quarter ended September 30, 2013","Oct 08, 2013 02:33 PM",Company Report,-,0B6iNZOlXAfIQbTd2ZzdDM08xdFU
Statement of Changes in Beneficial Ownership of Securities,"Oct 08, 2013 02:32 PM",Circular,7551-2013,"0B6iNZOlXAfIQR1QyeHFJYXFSd00,0B6iNZOlXAfIQeE9YSlRYUWZMclU"
Statement of Changes in Beneficial Ownership of Securities,"Sep 10, 2013 01:16 PM",Circular,7091-2013,"0B6iNZOlXAfIQOU81NE9CUVQ1bDg,0B6iNZOlXAfIQMlBkWXpMTThpVWc"
"Quarterly Report for period ended June 30, 2013","Aug 14, 2013 02:00 PM",Company Report,-,0B6iNZOlXAfIQeEU1Q2RycGd0TDA
Statement of Changes in Beneficial Ownership of Securities,"Aug 08, 2013 07:58 AM",Circular,6408-2013,"0B6iNZOlXAfIQQWV6Ny1CMFpGdkE,0B6iNZOlXAfIQbU5DWmFDRXpwSVE"
"Public Ownership Report for quarter ended June 30, 2013","Jul 12, 2013 09:11 AM",Company Report,-,0B6iNZOlXAfIQVG9yeTJMTzVYRDQ
Results of Annual Stockholders' Meeting and Organizational Meeting of Board of Directors,"Jul 11, 2013 04:25 PM",Circular,5796-2013,0B6iNZOlXAfIQNHI4U0JLckpPRVE
"Top 100 Stockholders for quarter ended June 30, 2013","Jul 09, 2013 07:31 AM",Company Report,-,0B6iNZOlXAfIQZzVITWo1dGJTSE0
Annual Corporate Governance Report for year 2013,"Jul 02, 2013 08:16 AM",Circular,5477-2013,0B6iNZOlXAfIQbFE0Nm1BVDRHcDA
"Amended Quarterly Report for period ended March 31, 2013","Jun 27, 2013 12:05 PM",Circular,5268-2013,"0B6iNZOlXAfIQamdWZ0JJdnUzTmc,0B6iNZOlXAfIQQ1puRDZoZ2VWYzQ"
Certifications on qualifications of independent directors,"Jun 24, 2013 08:01 AM",Circular,5101-2013,0B6iNZOlXAfIQWHNFcHJESFhBdzg
"Definitive Information Statement for Annual Stockholders' Meeting on July 11, 2013 with record date of June 20, 2013","Jun 21, 2013 10:20 AM",Circular,5078-2013,"0B6iNZOlXAfIQNDdHM0ZqNHVJcmc,0B6iNZOlXAfIQRE9fT0RiQVBraTA"
"Board approval of change in corporate name, increase in authorized capital stock, declaration of stock dividends and amendments to Articles of Incorporation and By-Laws","Jun 20, 2013 02:03 PM",Circular,5055-2013,0B6iNZOlXAfIQM09oVG5nS05hblE
Statement of Changes in Beneficial Ownership of Securities,"Jun 10, 2013 10:08 AM",Circular,4804-2013,"0B6iNZOlXAfIQUzlGVVpJSkF1anc,0B6iNZOlXAfIQamQ4ckxlc2Zkcjg"
"Preliminary Information Statement for Annual Stockholders' Meeting on July 11, 2013 with record date of June 20, 2013","Jun 06, 2013 07:42 AM",Circular,4702-2013,"0B6iNZOlXAfIQWXEwNUQtSFRUdzA,0B6iNZOlXAfIQR09sNVk2WUc4eDQ"
Amended 2012 Annual Report,"Jun 04, 2013 08:16 AM",Circular,4620-2013,"0B6iNZOlXAfIQRnhUMl8tTG9uQ3M,0B6iNZOlXAfIQN2hiSUJMNnJrS1U"
"Quarterly Report for period ended March 31, 2013","May 15, 2013 02:59 PM",Company Report,-,0B6iNZOlXAfIQNDZ3b0hYVmJydWc
Statement of Changes in Beneficial Ownership of Securities,"May 14, 2013 09:37 AM",Circular,3902-2013,"0B6iNZOlXAfIQRkhlUGZaeEJTMzQ,0B6iNZOlXAfIQekx0UjE0LWFNSTQ"
2012 Annual Report,"Apr 16, 2013 08:53 AM",Company Report,-,0B6iNZOlXAfIQeG1OcS1oMWhZTnc
"Public Ownership Report for quarter ended March 31, 2013","Apr 12, 2013 03:07 PM",Company Report,-,0B6iNZOlXAfIQVUNaY3I1LTRXTWs
Statement of Changes in Beneficial Ownership of Securities,"Apr 08, 2013 01:32 PM",Circular,2793-2013,"0B6iNZOlXAfIQdUhKMnVFWEtsaWs,0B6iNZOlXAfIQX2E1SHZvM1I4LWs"
"Top 100 Stockholders for quarter ended March 31, 2013","Apr 08, 2013 01:31 PM",Company Report,-,0B6iNZOlXAfIQcW1NcmZyZjRCaVU
Compliance Report on Corporate Governance for year 2012,"Mar 27, 2013 01:09 PM",Company Report,-,0B6iNZOlXAfIQN0pIWXRjWE5SejQ
Demise of director,"Mar 04, 2013 02:52 PM",Circular,1928-2013,0B6iNZOlXAfIQVnVyYVloaWpoclE
Certification on attendance of members of Board of Directors for year 2012,"Feb 07, 2013 08:02 AM",Circular,1276-2013,0B6iNZOlXAfIQR3FXVW9OaGQtalE
Certification on compliance with Manual on Corporate Governance,"Feb 07, 2013 07:55 AM",Circular,1275-2013,0B6iNZOlXAfIQRGdoRE15NjVFRlE
"Public Ownership Report for quarter ended December 31, 2012","Jan 14, 2013 03:20 PM",Company Report,-,0B6iNZOlXAfIQQlZpbzA3Z1ZuRkE
Statement of Changes in Beneficial Ownership of Securities,"Jan 10, 2013 02:54 PM",Circular,0314-2013,"0B6iNZOlXAfIQdnExNV9vaWd1TFE,0B6iNZOlXAfIQM0M3ajRSeXh3Wmc"
"Top 100 Stockholders for quarter ended December 31, 2012","Jan 07, 2013 12:46 PM",Company Report,-,0B6iNZOlXAfIQX1pqYkpRSld6ekU
Board approval of Audit Committee Charter; Audit Committee Charter,"Dec 26, 2012 03:37 PM",Circular,9322-2012,0B6iNZOlXAfIQSk5aVEM1Zk9MLTg
